# time [s], momentum transfer frequency [Hz] at 3000 K, momentum transfer frequency [Hz] at 2000 K
3.559999999999997467e-08,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000472e-08,3.408610269812641602e+11,7.751742235578565674e+11
3.639999999999998184e-08,3.617297183306347656e+11,7.366504642866680908e+11
3.680000000000001189e-08,3.933953701646077881e+11,7.238196135650263672e+11
3.719999999999998900e-08,4.072952026596037598e+11,7.348478493395119629e+11
3.760000000000001905e-08,4.096898058694019775e+11,7.395436172592644043e+11
3.799999999999999616e-08,4.109552520193846436e+11,7.420251312783502197e+11
3.839999999999997327e-08,4.106242960295017090e+11,7.413761333509346924e+11
3.880000000000000333e-08,4.074120139296162720e+11,7.350769138509708252e+11
3.919999999999998044e-08,3.958413475024279785e+11,7.255117530737116699e+11
3.960000000000001049e-08,3.648979802468732300e+11,7.346866689461151123e+11
3.999999999999998760e-08,3.390532359232962646e+11,7.839785873131016846e+11
4.040000000000001765e-08,3.373296673071599731e+11,7.939909690777680664e+11
4.079999999999999477e-08,3.613454869825115967e+11,7.368886238047531738e+11
4.119999999999997188e-08,3.887855143540516968e+11,7.206304919710643311e+11
4.160000000000000193e-08,3.942889969793597412e+11,7.244378291207805176e+11
4.199999999999997904e-08,3.964998022890424805e+11,7.259672754294937744e+11
4.240000000000000909e-08,3.935834808949475098e+11,7.239497495208645020e+11
4.279999999999998620e-08,3.875566517476221924e+11,7.206420619367543945e+11
4.320000000000001626e-08,3.657622263291873779e+11,7.341509801443651123e+11
4.359999999999999337e-08,3.401006366204057617e+11,7.779977476069337158e+11
4.399999999999997048e-08,0.000000000000000000e+00,0.000000000000000000e+00
4.440000000000000053e-08,3.381763415067802124e+11,7.889858065739730225e+11
4.479999999999997764e-08,3.394673235994302368e+11,7.816140748375120850e+11
4.520000000000000770e-08,3.387609354635075073e+11,7.856476736530866699e+11
4.559999999999998481e-08,3.372005759620755615e+11,7.956943697172027588e+11
4.600000000000001486e-08,3.372706541509589233e+11,7.947696661154521484e+11
4.639999999999999197e-08,0.000000000000000000e+00,0.000000000000000000e+00
4.679999999999996908e-08,0.000000000000000000e+00,0.000000000000000000e+00
4.719999999999999913e-08,3.372411481000157471e+11,7.951590076782883301e+11
4.759999999999997625e-08,3.384929980172679443e+11,7.871776429586837158e+11
4.800000000000000630e-08,3.394916796501291504e+11,7.814749975622078857e+11
4.839999999999998341e-08,3.412235389204487915e+11,7.744568067594777832e+11
4.880000000000001346e-08,3.519178613330347900e+11,7.532925754149207764e+11
4.919999999999999057e-08,3.699865755508386230e+11,7.315325863569610596e+11
4.960000000000002063e-08,3.870766370134312744e+11,7.209395912204191895e+11
4.999999999999999774e-08,3.940067636534246826e+11,7.242425786766745605e+11
5.039999999999997485e-08,3.975818087558358765e+11,7.267158129824810791e+11
5.080000000000000490e-08,4.015329408580756836e+11,7.294492261792659912e+11
5.119999999999998201e-08,4.042612859826817627e+11,7.313367091527547607e+11
5.160000000000001206e-08,4.027089354596135864e+11,7.302627851998234863e+11
5.199999999999998918e-08,3.997926140655186157e+11,7.282452592911943359e+11
5.240000000000001923e-08,3.957942862046302490e+11,7.254791958295777588e+11
5.279999999999999634e-08,3.915137250178068848e+11,7.225178819238554688e+11
5.319999999999997345e-08,3.843883898313837891e+11,7.226058572773073730e+11
5.360000000000000350e-08,3.681623000001425171e+11,7.326633337260407715e+11
5.399999999999998062e-08,3.543647456792073975e+11,7.484501530175163574e+11
5.440000000000001067e-08,3.419485887054815063e+11,7.730219218930281982e+11
5.479999999999998778e-08,3.375186654722553101e+11,7.927412508389393311e+11
5.520000000000001783e-08,3.372190180346510620e+11,7.954510208064212646e+11
5.559999999999999494e-08,3.381519784932308350e+11,7.891249236083609619e+11
5.599999999999997205e-08,3.384442789530196533e+11,7.874558372683758545e+11
5.640000000000000211e-08,3.385660731322151489e+11,7.867603713736875000e+11
5.679999999999997922e-08,3.392480982545885620e+11,7.828658895925008545e+11
5.720000000000000927e-08,3.396865489442718506e+11,7.803622600825233154e+11
5.759999999999998638e-08,3.390775919739952393e+11,7.838395100377976074e+11
5.800000000000001643e-08,3.388583666291535645e+11,7.850913247927863770e+11
5.839999999999999355e-08,3.384199229023207397e+11,7.875949145436800537e+11
5.879999999999997066e-08,3.379814722126374512e+11,7.900985440536575928e+11
5.920000000000000071e-08,3.375430284858046265e+11,7.926021338045513916e+11
5.959999999999997782e-08,3.372448360928049927e+11,7.951103434609367676e+11
6.000000000000000787e-08,0.000000000000000000e+00,0.000000000000000000e+00
6.039999999999998498e-08,0.000000000000000000e+00,0.000000000000000000e+00
6.080000000000001504e-08,0.000000000000000000e+00,0.000000000000000000e+00
6.119999999999999215e-08,3.375186654722553101e+11,7.927412508389393311e+11
6.159999999999996926e-08,3.383712038380724487e+11,7.878731088533721924e+11
6.199999999999999931e-08,3.397596240592190552e+11,7.799449884975269775e+11
6.239999999999997642e-08,3.409516484893944702e+11,7.749948821756848145e+11
6.280000000000000648e-08,3.422204791365357666e+11,7.724838464768210449e+11
6.319999999999998359e-08,3.410422959041881104e+11,7.748154895238211670e+11
6.360000000000001364e-08,3.394186114980322876e+11,7.818922293881203613e+11
6.399999999999999075e-08,3.387122233621095581e+11,7.859258282036950684e+11
6.440000000000002080e-08,3.374943094215563354e+11,7.928803281142435303e+11
6.479999999999999791e-08,3.373259793143707886e+11,7.940396332951196289e+11
6.519999999999997503e-08,3.372042650091794434e+11,7.956456915878393555e+11
6.560000000000000508e-08,3.373149142816884155e+11,7.941856398591861572e+11
6.599999999999998219e-08,3.389801608083491211e+11,7.843958588980979004e+11
6.640000000000001224e-08,3.422204791365357666e+11,7.724838464768210449e+11
6.679999999999998935e-08,3.530054230572521362e+11,7.511402737500924072e+11
6.720000000000001941e-08,3.638418929414603882e+11,7.353412673929660645e+11
6.759999999999999652e-08,3.744990982835823364e+11,7.287355729309930420e+11
6.799999999999997363e-08,3.831401868519093628e+11,7.233795354832009277e+11
6.840000000000000368e-08,3.911375035571273804e+11,7.222576100121791992e+11
6.879999999999998079e-08,3.941479475468176270e+11,7.243402504090762939e+11
6.920000000000001084e-08,3.932071249734171753e+11,7.236893845884908447e+11
6.959999999999998796e-08,3.967820356149775391e+11,7.261625258735997314e+11
7.000000000000001801e-08,3.980992141099083252e+11,7.270737566265588379e+11
7.039999999999999512e-08,3.973465022668475952e+11,7.265530267618115234e+11
7.079999999999997223e-08,3.935364195971499023e+11,7.239171922767305908e+11
7.120000000000000228e-08,3.687383725713643188e+11,7.323062645628544922e+11
7.159999999999997940e-08,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000000000945e-08,3.876527095846530762e+11,7.205825220572330322e+11
7.239999999999998656e-08,4.151604577398334961e+11,7.502714536908666992e+11
7.280000000000001661e-08,4.281140325635792847e+11,7.763713755186302490e+11
7.319999999999999372e-08,4.420717957079086914e+11,8.020629074291676025e+11
7.359999999999997083e-08,4.576471892421897583e+11,8.291513218610373535e+11
7.400000000000000089e-08,4.722532416098883057e+11,8.534868302309455566e+11
7.439999999999997800e-08,4.859367869935611572e+11,8.760129551909211426e+11
7.480000000000000805e-08,4.992575224138337402e+11,8.978483945281315918e+11
7.519999999999998516e-08,5.131071650433040771e+11,9.203258624287888184e+11
7.560000000000001521e-08,5.257084889173319702e+11,9.406357886427593994e+11
7.599999999999999233e-08,5.346860742908072510e+11,9.549591180340766602e+11
7.639999999999996944e-08,5.405211604600290527e+11,9.642754815519748535e+11
7.679999999999999949e-08,5.413996179473914185e+11,9.656836575657072754e+11
7.719999999999997660e-08,5.367510988508886719e+11,9.582537708549339600e+11
7.760000000000000665e-08,5.267574153332827759e+11,9.423093030609355469e+11
7.799999999999998376e-08,5.108918966511897583e+11,9.167536140579174805e+11
7.840000000000001382e-08,4.901253226230271606e+11,8.828933230515905762e+11
7.879999999999999093e-08,4.652385614615178223e+11,8.418353659171765137e+11
7.920000000000002098e-08,4.387053798692802734e+11,7.960187964047626953e+11
7.959999999999999809e-08,4.142843453892825928e+11,7.485534152897729492e+11
7.999999999999997520e-08,3.398083361606168823e+11,7.796668339469188232e+11
8.040000000000000526e-08,3.967820356149775391e+11,7.261625258735997314e+11
8.079999999999998237e-08,4.164098519442313232e+11,7.528456322477214355e+11
8.120000000000001242e-08,4.224868030931317749e+11,7.654254557550784912e+11
8.159999999999998953e-08,4.254890824525664062e+11,7.713474600536112061e+11
8.200000000000001958e-08,4.274500597950036011e+11,7.751005921058697510e+11
8.239999999999999669e-08,4.286390137581176147e+11,7.773761417162884521e+11
8.279999999999997381e-08,4.284383168107857056e+11,7.769920260360504150e+11
8.320000000000000386e-08,4.283302220617169189e+11,7.767851425302437744e+11
8.359999999999998097e-08,4.281449293885479126e+11,7.764305092279257812e+11
8.400000000000001102e-08,4.266625880031961060e+11,7.735934428093823242e+11
8.439999999999998813e-08,4.222751520696995850e+11,7.649873195162492676e+11
8.480000000000001819e-08,4.141286341298757935e+11,7.482480686946983643e+11
8.519999999999999530e-08,3.998866022002630615e+11,7.283102807587645264e+11
8.559999999999997241e-08,3.677783431029822388e+11,7.329013231301843262e+11
8.600000000000000246e-08,3.399301303398123779e+11,7.789713680522303467e+11
8.639999999999997957e-08,3.372300830673334351e+11,7.953050142423548584e+11
8.680000000000000962e-08,3.392724612681378784e+11,7.827267725581129150e+11
8.719999999999998674e-08,3.751712286918348999e+11,7.283189638882856445e+11
8.760000000000001679e-08,4.076651142897957153e+11,7.355732384808491211e+11
8.799999999999999390e-08,4.192820488052951050e+11,7.587913324360640869e+11
8.839999999999997101e-08,4.294574265132150269e+11,7.789425091987990723e+11
8.880000000000000106e-08,4.398833629583428955e+11,7.981337640488275146e+11
8.919999999999997818e-08,4.502984702658216553e+11,8.164796008616998291e+11
8.960000000000000823e-08,4.589174373299736328e+11,8.312737158422805176e+11
8.999999999999998534e-08,4.650657021082272949e+11,8.415465438716614990e+11
9.040000000000001539e-08,4.699482727691629028e+11,8.496899950546585693e+11
9.079999999999999250e-08,4.733086767997434082e+11,8.552253845160750732e+11
9.119999999999996962e-08,4.742390792386379395e+11,8.567579799445606689e+11
9.159999999999999967e-08,4.734059244949350586e+11,8.553855747379089355e+11
9.199999999999997678e-08,4.716840448959912720e+11,8.525492270549863281e+11
9.240000000000000683e-08,4.695176044047429199e+11,8.489805812151079102e+11
9.279999999999998394e-08,4.669704554116693726e+11,8.447291008743892822e+11
9.320000000000001399e-08,4.641275585058822632e+11,8.399790466604415283e+11
9.359999999999999111e-08,4.616885501606472778e+11,8.359038296363724365e+11
9.400000000000002116e-08,4.590185126081505737e+11,8.314425974679395752e+11
9.439999999999999827e-08,4.553644331554993286e+11,8.252669468622513428e+11
9.479999999999997538e-08,4.515164417276035156e+11,8.185922765536759033e+11
9.520000000000000543e-08,4.484116337230404053e+11,8.132067214685863037e+11
9.559999999999998254e-08,4.452618100368353882e+11,8.077430828328171387e+11
9.600000000000001260e-08,4.411536425315468140e+11,8.004144421172879639e+11
9.639999999999998971e-08,4.362413699395773315e+11,7.915948778236202393e+11
9.680000000000001976e-08,4.314647490931051636e+11,7.827843418150007324e+11
9.719999999999999687e-08,4.273883102833876953e+11,7.749824091640062256e+11
9.759999999999997398e-08,4.224414739948098755e+11,7.653316205336551514e+11
9.800000000000000404e-08,4.166215029676635132e+11,7.532837684865506592e+11
9.839999999999998115e-08,4.100986731399030151e+11,7.403453976145229492e+11
9.880000000000001120e-08,4.043552741174262085e+11,7.314017306203249512e+11
9.919999999999998831e-08,4.001217742284004517e+11,7.284729739587365723e+11
9.960000000000001836e-08,3.972054528343054810e+11,7.264554480501072998e+11
9.999999999999999547e-08,3.966409861824354248e+11,7.260649471618955078e+11
1.003999999999999726e-07,3.970173421039657593e+11,7.263253120942691650e+11
1.008000000000000026e-07,3.959353356371723633e+11,7.255767745412819824e+11
1.011999999999999798e-07,3.963587528565003662e+11,7.258696967177896729e+11
1.016000000000000098e-07,3.972525141321032104e+11,7.264880052942412109e+11
1.019999999999999869e-07,3.963587528565003662e+11,7.258696967177896729e+11
1.024000000000000170e-07,3.943360582771574097e+11,7.244703863649144287e+11
1.027999999999999941e-07,3.899615089555895386e+11,7.214440509916217041e+11
1.031999999999999712e-07,3.848684045655748291e+11,7.223083279936425781e+11
1.036000000000000012e-07,3.731551119180400391e+11,7.295686209024665527e+11
1.039999999999999784e-07,3.462988096956874390e+11,7.644127665034063721e+11
1.044000000000000084e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.047999999999999855e-07,3.463894312038178101e+11,7.642334251212346191e+11
1.052000000000000156e-07,3.661461832263476562e+11,7.339129907402214355e+11
1.055999999999999927e-07,3.872687526874927979e+11,7.208205114613767090e+11
1.059999999999999698e-07,4.004040075543355103e+11,7.286682244028425293e+11
1.063999999999999998e-07,4.067111463095413818e+11,7.337025267822180176e+11
1.067999999999999770e-07,4.073925361094616699e+11,7.350387182440101318e+11
1.072000000000000070e-07,4.079765924595240479e+11,7.361840408013040771e+11
1.075999999999999841e-07,4.071589135694367676e+11,7.345805892210924072e+11
1.080000000000000142e-07,3.997455527677209473e+11,7.282127020470603027e+11
1.083999999999999913e-07,3.777636924878145142e+11,7.267120675969772949e+11
1.087999999999999684e-07,3.393942484844830322e+11,7.820313464225083008e+11
1.091999999999999984e-07,3.433080149540898438e+11,7.703315960816845703e+11
1.095999999999999756e-07,3.868847957903325806e+11,7.210585008655202637e+11
1.100000000000000056e-07,4.072367691991401367e+11,7.347332625186298828e+11
1.103999999999999827e-07,4.137976781399929199e+11,7.475990707672827148e+11
1.108000000000000128e-07,4.174226915396227417e+11,7.549422993163041992e+11
1.111999999999999899e-07,4.187680885617869873e+11,7.577273895155587158e+11
1.116000000000000199e-07,4.196599785421137085e+11,7.595736802402292480e+11
1.119999999999999970e-07,4.193727502136625977e+11,7.589790923309809570e+11
1.123999999999999742e-07,4.170296376994554443e+11,7.541286432876413574e+11
1.128000000000000042e-07,4.143233010295916748e+11,7.486298065036944580e+11
1.131999999999999813e-07,4.101960065897609253e+11,7.405362665190209961e+11
1.136000000000000114e-07,4.016741247514686890e+11,7.295468979116677246e+11
1.139999999999999885e-07,3.821801573835273438e+11,7.239745940505307617e+11
1.144000000000000185e-07,3.516458413686640625e+11,7.538309071795872803e+11
1.147999999999999957e-07,3.384442789530196533e+11,7.874558372683758545e+11
1.151999999999999728e-07,3.372042650091794434e+11,7.956456915878393555e+11
1.156000000000000028e-07,3.397596240592190552e+11,7.799449884975269775e+11
1.159999999999999799e-07,3.439424432309921265e+11,7.690760525974067383e+11
1.164000000000000100e-07,3.415860767662967529e+11,7.737393386914069824e+11
1.167999999999999871e-07,3.391750231396413574e+11,7.832831611774971924e+11
1.172000000000000171e-07,3.380545473275846558e+11,7.896812724686613770e+11
1.175999999999999943e-07,3.373075372417952881e+11,7.942829822059011230e+11
1.179999999999999714e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.184000000000000014e-07,3.385660731322151489e+11,7.867603713736875000e+11
1.187999999999999785e-07,3.424923695675900879e+11,7.719457710606140137e+11
1.192000000000000086e-07,3.497427378846001587e+11,7.575971787445776367e+11
1.195999999999999857e-07,3.559054149440764771e+11,7.454011444418291016e+11
1.200000000000000157e-07,3.625936899619859619e+11,7.361149455988596191e+11
1.203999999999999929e-07,3.686425891852964478e+11,7.323656343284343262e+11
1.207999999999999700e-07,3.741151413864220581e+11,7.289735623351367188e+11
1.212000000000000000e-07,3.802598239958003540e+11,7.251648812991315918e+11
1.215999999999999771e-07,3.847723467285440063e+11,7.223678678731638184e+11
1.220000000000000072e-07,3.863087232191107788e+11,7.214155700287064209e+11
1.223999999999999843e-07,3.822762152205581055e+11,7.239150541710093994e+11
1.228000000000000143e-07,3.778594758738823853e+11,7.266526978313974609e+11
1.231999999999999915e-07,3.735390688152002563e+11,7.293306314983228760e+11
1.235999999999999686e-07,3.684504735112348633e+11,7.324847140874768066e+11
1.239999999999999986e-07,3.633618782072693481e+11,7.356387966766309814e+11
1.243999999999999757e-07,3.603854575141295776e+11,7.374836823720828857e+11
1.248000000000000058e-07,3.600975584540001831e+11,7.376621318967052002e+11
1.251999999999999829e-07,3.600015006169693604e+11,7.377216717762265625e+11
1.256000000000000130e-07,3.584432316783387451e+11,7.403787654259503174e+11
1.259999999999999901e-07,3.552712198271436768e+11,7.466562264988801270e+11
1.264000000000000201e-07,3.510116462517313232e+11,7.550859892366381836e+11
1.267999999999999972e-07,3.427642599986444092e+11,7.714076956444068604e+11
1.271999999999999743e-07,3.379327601112396240e+11,7.903766986042658691e+11
1.276000000000000044e-07,3.372227060274402466e+11,7.954023565890697021e+11
1.279999999999999815e-07,3.400762805697067871e+11,7.781368248822379150e+11
1.284000000000000116e-07,3.525523155166003418e+11,7.520369806609511719e+11
1.287999999999999887e-07,3.653779949810642090e+11,7.343891396624501953e+11
1.292000000000000187e-07,3.763233738342785645e+11,7.276048255619134521e+11
1.295999999999999958e-07,3.856365928108582153e+11,7.218321790714138184e+11
1.299999999999999729e-07,3.908552702311923828e+11,7.220623595680733643e+11
1.304000000000000030e-07,3.942889969793597412e+11,7.244378291207805176e+11
1.307999999999999801e-07,3.962175689631074219e+11,7.257720249853878174e+11
1.312000000000000102e-07,3.973935635646452637e+11,7.265855840059454346e+11
1.315999999999999873e-07,3.974406248624428711e+11,7.266181412500792236e+11
1.320000000000000173e-07,3.957942862046302490e+11,7.254791958295777588e+11
1.323999999999999944e-07,3.949946475246227417e+11,7.249260017413940430e+11
1.327999999999999715e-07,3.926897196193447266e+11,7.233314409444129639e+11
1.332000000000000016e-07,3.896322143318568115e+11,7.212162433033819580e+11
1.335999999999999787e-07,3.840044329342235718e+11,7.228438466814509277e+11
1.340000000000000088e-07,3.790116210163259277e+11,7.259385595050252686e+11
1.343999999999999859e-07,3.767073307314387817e+11,7.273668361577698975e+11
1.348000000000000159e-07,3.739230257123605347e+11,7.290926420941793213e+11
1.351999999999999930e-07,3.703708068989618530e+11,7.312944268388759766e+11
1.355999999999999701e-07,3.688344304083950806e+11,7.322467246833332520e+11
