# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.7 of the paper, electron density, provided by the authors.
# Time [ns];ne (4.75mm) [cm^-3];ne (4.25mm) [cm^-3];ne (2.25mm) [cm^-3];ne (0.75mm) [cm^-3];ne (0.25mm) [cm^-3];uncertainty on ne (4.75mm) [cm^-3];uncertainty on ne (4.25mm) [cm^-3];uncertainty on ne (2.25mm) [cm^-3];uncertainty on ne (0.75mm) [cm^-3];uncertainty on ne (0.25mm) [cm^-3];
70	5.0576691628235E15	2.47470524153894E15		3.35036348891111E15	--	1.0115338325647E15	494941048307788	--	670072697782222	--
71	5.51400159979149E15	2.73824154571993E15	1.00639514561594E15	3.55678033524783E15	--	1.1028003199583E15	547648309143986	201279029123187	711356067049566	--
72	5.99832214740247E15	2.98433318512091E15	1.00472963837482E15	3.82190211111689E15	--	1.19966442948049E15	596866637024182	200945927674965	764380422223378	--
73	7.12260621357598E15	3.28724728420535E15	990386765607170	4.1955389884406E15	--	1.4245212427152E15	657449456841070	198077353121434	839107797688120	--
74	8.26351160546552E15	3.64769398682086E15	1.01891305928632E15	4.84238266960939E15	--	1.6527023210931E15	729538797364172	203782611857264	968476533921878	--
75	9.9882486208871E15	4.06316051265461E15	1.0271982643313E15	5.46117306075165E15	--	1.99764972417742E15	812632102530922	205439652866260	1.09223461215033E15	--
76	1.21734526696985E16	4.40643271823407E15	1.04455209517958E15	6.35474191850711E15	--	2.43469053393969E15	881286543646815	208910419035916	1.27094838370142E15	--
77	1.54407897602582E16	5.34867984383484E15	1.11462320069806E15	8.08330692923699E15	--	3.08815795205164E15	1.06973596876697E15	222924640139613	1.6166613858474E15	--
78	--	6.400492554517E15				--	1.2800985109034E15	--	--	--
79						--	--	--	--	--
80						--	--	--	--	--
81						--	--	--	--	--
82						--	--	--	--	--
83						--	--	--	--	--
84	--	4.08241613867494E15		--	--	--	816483227734988	--	--	--
85	--	3.97109006671213E15	1.02163310369355E15	4.78973397385702E15	--	--	794218013342426	204326620738711	957946794771405	--
86	--	3.95679169203198E15	1.03874635768834E15	4.79551143836939E15	--	--	791358338406395	207749271537667	959102287673879	--
87	--	3.95435330330917E15	1.03069608730618E15	4.98775397711969E15	--	--	790870660661834	206139217461237	997550795423937	--
88	8.12180399979179E15	4.1140332367709E15	1.02853869391089E15	5.19163248359482E15	--	1.62436079995836E15	822806647354181	205707738782177	1.03832649671897E15	--
89	8.8131408872413E15	4.34470021270701E15	1.07346749063558E15	5.67853484113448E15	--	1.76262817744826E15	868940042541402	214693498127117	1.1357069682269E15	--
90	1.13949833212986E16	4.64100825758921E15	1.11570399019109E15	6.13312601680825E15	--	2.27899666425972E15	928201651517842	223140798038218	1.22662520336165E15	--
91	1.3805488908495E16	4.9942984500413E15	1.13104139955526E15	6.79970975367003E15	--	2.761097781699E15	998859690008260	226208279911053	1.35994195073401E15	--
92	1.58326985939706E16	5.33350440416516E15	1.17683717560721E15	7.32225673522895E15	--	3.16653971879412E15	1.06670088083303E15	235367435121442	1.46445134704579E15	--
93	--	5.545460804435E15	1.1866677223757E15	7.72106301287866E15	--	--	1.109092160887E15	237333544475140	1.54421260257573E15	--
