# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.3 of the paper, anode configuration, provided by the authors.
# Time [s];Voltage [kV];Current [A];Energy [J]
3.372E-7;3.84009;40.1181;0.00115158
3.376E-7;3.75369;39.7183;0.00121298
3.38E-7;3.65993;40.5154;0.00127244
3.384E-7;3.60361;41.7948;0.00133226
3.388E-7;3.46228;42.342;0.00139245
3.392E-7;3.15023;42.1946;0.00144928
3.396E-7;2.74302;41.9922;0.00149954
3.4E-7;2.34562;41.1501;0.00154236
3.404E-7;2.04861;38.9286;0.00157849
3.408E-7;1.72327;36.1425;0.00160791
3.412E-7;1.34475;34.5733;0.00163008
3.416E-7;0.986523;34.3109;0.00164623
3.42E-7;0.696164;33.7237;0.00165774
3.424E-7;0.419098;31.7621;0.00166535
3.428E-7;0.129437;29.4407;0.0016687
3.432E-7;-0.0888571;27.7391;0.00166883
3.436E-7;-0.200103;26.0149;0.00166706
3.44E-7;-0.244882;23.5686;0.00166468
3.444E-7;-0.283713;21.1872;0.00166225
3.448E-7;-0.324293;20.0053;0.00165963
3.452E-7;-0.316247;19.7279;0.00165701
3.456E-7;-0.31135;19.0733;0.00165457
3.46E-7;-0.340735;17.559;0.00165214
3.464E-7;-0.374669;15.9273;0.00164958
3.468E-7;-0.365224;14.7354;0.0016472
3.472E-7;-0.338986;13.4385;0.00164513
3.476E-7;-0.322544;11.7793;0.00164336
3.48E-7;-0.27007;10.6274;0.00164196
3.484E-7;-0.160572;10.5124;0.00164099
3.488E-7;-0.0416299;10.7048;0.00164062
3.492E-7;0.0363824;10.1226;0.00164062
3.496E-7;0.122791;8.98815;0.00164093
3.5E-7;0.233687;8.32347;0.00164154
3.504E-7;0.333389;8.35595;0.00164251
3.508E-7;0.369771;8.41842;0.00164373
3.512E-7;0.346333;8.30848;0.00164495
3.516E-7;0.345983;8.44591;0.0016461
3.52E-7;0.327792;8.89569;0.00164732
3.524E-7;0.245581;8.94317;0.00164836
3.528E-7;0.115094;8.18853;0.00164903
3.532E-7;-0.00769628;7.29897;0.00164915
3.536E-7;-0.1025;6.84668;0.00164903
3.54E-7;-0.215146;6.59681;0.0016486
3.544E-7;-0.35088;6.04457;0.00164781
3.548E-7;-0.499908;5.21997;0.00164684
3.552E-7;-0.610805;4.48283;0.00164568
3.556E-7;-0.639491;3.82565;0.00164452
3.56E-7;-0.609406;2.98605;0.00164361
3.564E-7;-0.542588;2.14896;0.00164294
3.568E-7;-0.442536;2.00403;0.00164251
3.572E-7;-0.33199;2.58375;0.00164214
3.576E-7;-0.202552;3.3084;0.00164184
3.58E-7;-0.0664679;3.69071;0.00164166
3.584E-7;0.00769628;3.87812;0.00164166
3.588E-7;0.0734645;4.16798;0.00164172
3.592E-7;0.153576;4.45784;0.0016419
3.596E-7;0.288611;4.51781;0.00164227
3.6E-7;0.403705;4.49532;0.00164294
3.604E-7;0.446734;4.77519;0.00164373
3.608E-7;0.469473;5.27994;0.00164458
3.612E-7;0.463526;5.3699;0.00164562
3.616E-7;0.405804;4.69523;0.00164659
3.62E-7;0.306802;3.58576;0.0016472
3.624E-7;0.16512;2.42633;0.00164757
3.628E-7;0.051775;1.38183;0.00164769
3.632E-7;-0.0251878;0.379816;0.00164769
3.636E-7;-0.152176;-0.374819;0.00164769
3.64E-7;-0.254327;-0.467274;0.00164775
3.644E-7;-0.295257;0.0499758;0.00164781
3.648E-7;-0.311699;0.549734;0.00164775
3.652E-7;-0.29001;0.809608;0.00164769
3.656E-7;-0.24768;1.13445;0.00164763
3.66E-7;-0.168269;1.80912;0.00164751
3.664E-7;-0.0668177;2.62373;0.00164738
3.668E-7;-3.49831E-4;3.07851;0.00164738
3.672E-7;0.0391811;3.17596;0.00164744
3.676E-7;0.0577221;3.15347;0.00164751
3.68E-7;0.047577;2.98356;0.00164757
3.684E-7;0.0129437;2.36635;0.00164763
3.688E-7;-0.0195905;1.41182;0.00164757
3.692E-7;-0.00804611;0.664678;0.00164757
3.696E-7;-0.00244882;0.449782;0.00164757
3.7E-7;-0.0167919;0.547235;0.00164757
3.704E-7;-0.0437289;0.644688;0.00164757
3.708E-7;-0.0580719;0.824601;0.00164757
3.712E-7;-0.0748638;1.14944;0.00164757
3.716E-7;-0.116144;1.37184;0.00164751
3.72E-7;-0.183661;1.20941;0.00164738
3.724E-7;-0.245931;0.762131;0.00164732
3.728E-7;-0.293158;0.432291;0.00164726
3.732E-7;-0.319746;0.472271;0.0016472
3.736E-7;-0.349131;0.669676;0.00164714
3.74E-7;-0.369422;0.882073;0.00164702
3.744E-7;-0.357877;1.10946;0.0016469
3.748E-7;-0.336188;1.31186;0.00164671
3.752E-7;-0.306452;1.36434;0.00164653
3.756E-7;-0.274617;1.22191;0.00164641
3.76E-7;-0.236136;1.07948;0.00164629
3.764E-7;-0.177014;1.11196;0.00164617
3.768E-7;-0.125589;1.2494;0.0016461
3.772E-7;-0.0776625;1.2469;0.00164604
3.776E-7;-0.0297356;1.13445;0.00164604
3.78E-7;0.0146929;1.09697;0.00164604
3.784E-7;0.0388312;1.09447;0.00164604
3.788E-7;0.0430292;0.942044;0.0016461
3.792E-7;0.0447784;0.589714;0.0016461
3.796E-7;0.0545736;0.299855;0.0016461
