# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.16 of the paper, remote configuration, provided by the authors.
# Time [ns];Voltage [kV];Error on voltage [kV];Current [A];Error on current [A]
33.8;0.132936;0.00930552;2.03903;0.0203903
34.2;0.129813;0.00908691;1.56926;0.0156926
34.6;0.142557;0.00997899;0.982045;0.00982045
35;0.171792;0.01202544;0.102471;0.00102471
35.4;0.219645;0.01537515;-1.12194;-0.0112194
35.8;0.283364;0.01983548;-2.72616;-0.0272616
36.2;0.36545;0.0255815;-4.64023;-0.0464023
36.6;0.468025;0.03276175;-7.07405;-0.0707405
37;0.60396;0.0422772;-9.89269;-0.0989269
37.4;0.780125;0.05460875;-13.2011;-0.132011
37.8;0.974407;0.06820849;-16.7669;-0.167669
38.2;1.19805;0.0838635;-20.3551;-0.203551
38.6;1.43868;0.1007076;-24.0258;-0.240258
39;1.66195;0.1163365;-27.5741;-0.275741
39.4;1.87935;0.1315545;-31.3723;-0.313723
39.8;2.09387;0.1465709;-34.6182;-0.346182
40.2;2.28353;0.1598471;-37.227;-0.37227
40.6;2.41122;0.1687854;-38.6812;-0.386812
41;2.48681;0.1740767;-39.1685;-0.391685
41.4;2.48431;0.1739017;-38.7287;-0.387287
41.8;2.43895;0.1707265;-37.5393;-0.375393
42.2;2.42646;0.1698522;-35.9926;-0.359926
42.6;2.40272;0.1681904;-34.111;-0.34111
43;2.36099;0.1652693;-32.0894;-0.320894
43.4;2.31764;0.1622348;-29.6006;-0.296006
43.8;2.2293;0.156051;-27.1968;-0.271968
44.2;2.11398;0.1479786;-25.0653;-0.250653
44.6;1.98592;0.1390144;-23.746;-0.23746
45;1.83924;0.1287468;-22.8239;-0.228239
45.4;1.69106;0.1183742;-21.9743;-0.219743
45.8;1.561;0.10927;-20.8524;-0.208524
46.2000000000001;1.46105;0.1022735;-19.4581;-0.194581
46.6;1.40295;0.0982065;-17.6789;-0.176789
47;1.35947;0.0951629;-15.52;-0.1552
47.4;1.28763;0.0901341;-13.0612;-0.130612
47.8;1.16007;0.0812049;-10.6998;-0.106998
48.2;0.978405;0.06848835;-8.6283;-0.086283
48.6;0.778876;0.05452132;-6.51932;-0.0651932
49;0.597338;0.04181366;-4.54278;-0.0454278
49.4;0.447535;0.03132745;-2.53625;-0.0253625
49.8;0.327468;0.02292276;-0.662159;-0.00662159
50.2;0.211898;0.01483286;1.12448;0.0112448
50.6;0.0783374;0.005483618;2.95109;0.0295109
51;-0.0710909;-0.004976363;4.80769;0.0480769
51.4;-0.22964;-0.0160748;6.66429;0.0666429
51.8;-0.391437;-0.02740059;8.26852;0.0826852
52.2;-0.545238;-0.03816666;9.94021;0.0994021
52.6;-0.685296;-0.04797072;11.6794;0.116794
53;-0.808112;-0.05656784;13.431;0.13431
53.4;-0.915935;-0.06411545;14.7829;0.147829
53.8;-1.01376;-0.0709632;15.8723;0.158723
54.2;-1.10534;-0.0773738;16.8768;0.168768
54.6;-1.18668;-0.0830676;17.669;0.17669
55;-1.25865;-0.0881055;17.9613;0.179613
55.4;-1.31662;-0.0921634;17.7139;0.177139
55.8;-1.35173;-0.0946211;17.1992;0.171992
56.2000000000001;-1.35835;-0.0950845;16.4695;0.164695
56.6;-1.33898;-0.0937286;15.5175;0.155175
57;-1.29963;-0.0909741;14.3606;0.143606
57.4;-1.24977;-0.0874839;13.1162;0.131162
57.8;-1.19643;-0.0837501;11.7543;0.117543
58.2000000000001;-1.1457;-0.080199;10.335;0.10335
58.6;-1.0996;-0.076972;9.04064;0.0904064
59.0000000000001;-1.05637;-0.0739459;7.97866;0.0797866
59.4;-1.00614;-0.0704298;6.82921;0.0682921
59.8;-0.943422;-0.06603954;5.6123;0.056123
60.2;-0.867708;-0.06073956;4.54782;0.0454782
60.6;-0.783124;-0.05481868;3.59328;0.0359328
61;-0.700414;-0.04902898;2.59626;0.0259626
61.4;-0.626324;-0.04384268;1.39934;0.0139934
61.8;-0.562355;-0.03936485;0.314868;0.00314868
62.2;-0.504508;-0.03531556;-0.567204;-0.00567204
62.6;-0.445661;-0.03119627;-1.09695;-0.0109695
63;-0.385815;-0.02700705;-1.46677;-0.0146677
63.4;-0.330341;-0.02312387;-1.74663;-0.0174663
63.8;-0.289236;-0.02024652;-1.8166;-0.018166
64.2;-0.270245;-0.01891715;-1.68666;-0.0168666
64.6;-0.275992;-0.01931944;-1.4093;-0.014093
65;-0.298607;-0.02090249;-1.13943;-0.0113943
65.4;-0.325094;-0.02275658;-0.909539;-0.00909539
65.8;-0.340212;-0.02381484;-0.847069;-0.00847069
66.2;-0.338213;-0.02367491;-0.667156;-0.00667156
66.6;-0.322845;-0.02259915;-0.34981;-0.0034981
67;-0.303104;-0.02121728;0.0624906;6.24906E-4
67.4;-0.283114;-0.01981798;0.287382;0.00287382
67.8;-0.265622;-0.01859354;0.2499;0.002499
68.2000000000001;-0.248756;-0.01741292;0.0949749;9.49749E-4
68.6;-0.229515;-0.01606605;-0.132415;-0.00132415
69.0000000000001;-0.19853;-0.0138971;-0.609684;-0.00609684
69.4;-0.15605;-0.0109235;-1.13943;-0.0113943
69.8000000000001;-0.103325;-0.00723275;-1.42179;-0.0142179
70.2;-0.0518501;-0.003629507;-1.44428;-0.0144428
70.6;-0.0179914;-0.001259398;-1.13443;-0.0113443
71;-0.00199904;-1.399328E-4;-0.957016;-0.00957016
71.4;-0.006247;-4.3729E-4;-0.924531;-0.00924531
71.8;-0.0277367;-0.001941569;-0.872057;-0.00872057
72.2;-0.0590966;-0.004136762;-1.06946;-0.0106946
72.6;-0.153052;-0.01071364;-1.77162;-0.0177162
73;-0.354705;-0.02482935;-3.38084;-0.0338084
73.4;-0.610082;-0.04270574;-5.27243;-0.0527243
73.8;-0.899068;-0.06293476;-7.63628;-0.0763628
74.2;-1.18393;-0.0828751;-10.1825;-0.101825
74.6;-1.37496;-0.0962472;-12.7063;-0.127063
75;-1.56412;-0.1094884;-15.2801;-0.152801
75.4;-1.7699;-0.123893;-18.1487;-0.181487
75.8;-1.95681;-0.1369767;-21.2822;-0.212822
76.2000000000001;-2.17446;-0.1522122;-23.9559;-0.239559
76.6;-2.35387;-0.1647709;-26.1023;-0.261023
77;-2.4567;-0.171969;-27.1918;-0.271918
77.4;-2.4953;-0.174671;-27.1393;-0.271393
77.8;-2.41846;-0.1692922;-25.4202;-0.254202
78.2;-2.21131;-0.1547917;-22.3966;-0.223966
78.6;-1.88397;-0.1318779;-18.7034;-0.187034
79;-1.48754;-0.1041278;-14.413;-0.14413
79.4;-1.11496;-0.0780472;-9.92267;-0.0992267
79.8;-0.807112;-0.05649784;-5.62226;-0.0562226
80.2;-0.561355;-0.03929485;-2.12645;-0.0212645
80.6;-0.368073;-0.02576511;0.734665;0.00734665
81;-0.19778;-0.0138446;2.89362;0.0289362
81.4;-0.0600961;-0.004206727;4.52283;0.0452283
81.8;0.0239885;0.001679195;5.69976;0.0569976
82.2;0.0585969;0.004101783;6.62181;0.0662181
82.6;0.0496012;0.003472084;7.34147;0.0734147
83;0.0254878;0.001784146;7.6838;0.076838
