BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
CO
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
H2O
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
N2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
O2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        3000.00
Excitation temperature (K)                 3000.00
Transition energy (eV)                     0.00000
Ionization degree                         0.100000
Gas particle density (1/m3)               0.250000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           100.000
Precision                                 0.100000E-09
Convergence                               0.100000E-04
Maximum # of iterations                    2000.00
Mole fraction CO2                         0.280000E-01
Mole fraction CO                          0.440000E-01
Mole fraction H2O                         0.940000E-01
Mole fraction N2                          0.660000
Mole fraction O2                          0.430000E-01


E/N (Td)      	Electric field / N (Td)
344.295	0.125653E-16
385.870	0.127802E-16
429.822	0.128502E-16
476.149	0.127975E-16
524.851	0.126454E-16
575.930	0.124166E-16
629.384	0.121298E-16
685.214	0.118015E-16
743.420	0.114459E-16
804.001	0.110729E-16
866.958	0.106924E-16
932.291	0.103086E-16
1000.00	0.992823E-17


E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
1.00000	0.00000
2.18787	0.00000
5.75149	0.00000
11.6908	0.00000
20.0059	0.00000
30.6968	0.00000
43.7634	0.844898E-32
59.2057	0.562098E-28
77.0238	0.145467E-22
97.2176	0.529374E-22
119.787	0.124729E-21
144.732	0.243586E-21
172.054	0.425433E-21
201.750	0.690815E-21
233.823	0.106050E-20
268.271	0.155447E-20
305.095	0.219099E-20
344.295	0.297962E-20
385.870	0.392293E-20
429.822	0.501624E-20
476.149	0.624526E-20
524.851	0.759303E-20
575.930	0.903423E-20
629.384	0.105472E-19
685.214	0.121135E-19
743.420	0.137076E-19
804.001	0.153147E-19
866.958	0.169205E-19
932.291	0.185154E-19
1000.00	0.200822E-19


E/N (Td)	Townsend attach. coef. eta/N (m2)
1.00000	0.129687E-21
2.18787	0.592874E-22
5.75149	0.224629E-22
11.6908	0.111525E-22
20.0059	0.654034E-23
30.6968	0.423538E-23
43.7634	0.403181E-23
59.2057	0.520082E-22
77.0238	0.114754E-21
97.2176	0.127948E-21
119.787	0.127711E-21
144.732	0.122180E-21
172.054	0.114274E-21
201.750	0.105465E-21
233.823	0.964154E-22
268.271	0.875228E-22
305.095	0.789784E-22
344.295	0.709766E-22
385.870	0.635888E-22
429.822	0.568250E-22
476.149	0.507227E-22
524.851	0.452555E-22
575.930	0.403927E-22
629.384	0.360783E-22
685.214	0.322701E-22
743.420	0.289135E-22
804.001	0.259477E-22
866.958	0.233429E-22
932.291	0.210376E-22
1000.00	0.190019E-22


E/N (Td)	Power /N (eV m3/s)
1.00000	0.101621E-18
2.18787	0.486736E-18
5.75149	0.334527E-17
11.6908	0.142258E-16
20.0059	0.439576E-16
30.6968	0.116384E-15
43.7634	0.304664E-15
59.2057	0.920705E-15
77.0238	0.201025E-14
97.2176	0.356368E-14
119.787	0.582631E-14
144.732	0.900810E-14
172.054	0.133330E-13
201.750	0.190412E-13
233.823	0.263881E-13
268.271	0.356326E-13
305.095	0.470725E-13
344.295	0.609520E-13
385.870	0.775530E-13
429.822	0.971984E-13
476.149	0.120134E-12
524.851	0.146655E-12
575.930	0.177039E-12
629.384	0.211604E-12
685.214	0.250589E-12
743.420	0.294295E-12
804.001	0.343099E-12
866.958	0.397118E-12
932.291	0.456830E-12
1000.00	0.522485E-12


E/N (Td)	Elastic power loss /N (eV m3/s)
1.00000	0.110573E-20
2.18787	0.591888E-20
5.75149	-0.483692E-19
11.6908	0.177239E-18
20.0059	0.540452E-18
30.6968	0.128702E-17
43.7634	0.311627E-17
59.2057	0.882295E-17
77.0238	0.140893E-16
97.2176	0.176119E-16
119.787	0.210249E-16
144.732	0.246486E-16
172.054	0.286165E-16
201.750	0.330464E-16
233.823	0.380206E-16
268.271	0.435953E-16
305.095	0.498392E-16
344.295	0.567579E-16
385.870	0.643808E-16
429.822	0.727288E-16
476.149	0.817819E-16
524.851	0.915359E-16
575.930	0.101979E-15
629.384	0.113104E-15
685.214	0.124893E-15
743.420	0.137333E-15
804.001	0.150440E-15
866.958	0.164165E-15
932.291	0.178539E-15
1000.00	0.193542E-15


E/N (Td)	Inelastic power loss /N (eV m3/s)
1.00000	0.814720E-19
2.18787	0.392780E-18
5.75149	-0.320820E-17
11.6908	0.115530E-16
20.0059	0.361453E-16
30.6968	0.936434E-16
43.7634	0.273690E-15
59.2057	0.858189E-15
77.0238	0.196024E-14
97.2176	0.350908E-14
119.787	0.576027E-14
144.732	0.891771E-14
172.054	0.131656E-13
201.750	0.187225E-13
233.823	0.257787E-13
268.271	0.344985E-13
305.095	0.450548E-13
344.295	0.575110E-13
385.870	0.719252E-13
429.822	0.883463E-13
476.149	0.106717E-12
524.851	0.127013E-12
575.930	0.149127E-12
629.384	0.173005E-12
685.214	0.198564E-12
743.420	0.225663E-12
804.001	0.254284E-12
866.958	0.284245E-12
932.291	0.315579E-12
1000.00	0.348085E-12


E/N (Td)	Growth power /N (eV m3/s)
1.00000	-0.511516E-20
2.18787	-0.512765E-20
5.75149	-0.498466E-20
11.6908	-0.558427E-20
20.0059	-0.662179E-20
30.6968	-0.906573E-20
43.7634	-0.229596E-19
59.2057	-0.127912E-17
77.0238	-0.591597E-17
97.2176	-0.739937E-17
119.787	-0.447360E-18
144.732	0.262945E-16
172.054	0.938204E-16
201.750	0.239086E-15
233.823	0.521878E-15
268.271	0.103291E-14
305.095	0.190509E-14
344.295	0.331179E-14
385.870	0.547539E-14
429.822	0.866913E-14
476.149	0.131942E-13
524.851	0.193919E-13
575.930	0.276112E-13
629.384	0.382307E-13
685.214	0.516314E-13
743.420	0.681767E-13
804.001	0.882912E-13
866.958	0.112299E-12
932.291	0.140667E-12
1000.00	0.173716E-12


E/N (Td)	e-i power loss /N (eV m3/s)
1.00000	0.158430E-19
2.18787	0.847665E-19
5.75149	-0.696556E-18
11.6908	0.249625E-17
20.0059	0.727690E-17
30.6968	0.154247E-16
43.7634	0.276081E-16
59.2057	0.397079E-16
77.0238	0.420038E-16
97.2176	0.423336E-16
119.787	0.422959E-16
144.732	0.420760E-16
172.054	0.417383E-16
201.750	0.413224E-16
233.823	0.408298E-16
268.271	0.402851E-16
305.095	0.396989E-16
344.295	0.390941E-16
385.870	0.384600E-16
429.822	0.378123E-16
476.149	0.371592E-16
524.851	0.365157E-16
575.930	0.358662E-16
629.384	0.352237E-16
685.214	0.346007E-16
743.420	0.339802E-16
804.001	0.333713E-16
866.958	0.327770E-16
932.291	0.322086E-16
1000.00	0.316466E-16


E/N (Td)	Coulomb logarithm
1.00000	1.40458
2.18787	1.40702
5.75149	1.37864
11.6908	1.49215
20.0059	1.66196
30.6968	1.96664
43.7634	2.52291
59.2057	3.51125
77.0238	4.04862
97.2176	4.30913
119.787	4.51370
144.732	4.69468
172.054	4.86213
201.750	5.02181
233.823	5.17608
268.271	5.32608
305.095	5.47287
344.295	5.61603
385.870	5.75562
429.822	5.89175
476.149	6.02390
524.851	6.15208
575.930	6.27601
629.384	6.39583
685.214	6.51166
743.420	6.62341
804.001	6.73156
866.958	6.83598
932.291	6.93729
1000.00	7.03533


E/N (Td)	Maximum energy
1.00000	6.21116
2.18787	6.21116
5.75149	7.45339
11.6908	7.45339
20.0059	7.45339
30.6968	8.94407
43.7634	12.1246
59.2057	12.1246
77.0238	35.1662
97.2176	40.9440
119.787	47.6712
144.732	55.5036
172.054	64.6228
201.750	64.6228
233.823	75.2404
268.271	87.6024
305.095	101.996
344.295	101.996
385.870	118.753
429.822	138.265
476.149	160.982
524.851	160.982
575.930	187.431
629.384	218.226
685.214	218.226
743.420	254.080
804.001	295.826
866.958	344.430
932.291	344.430
1000.00	401.020


E/N (Td)	# of iterations
1.00000	1471.00
2.18787	613.000
5.75149	1532.00
11.6908	647.000
20.0059	413.000
30.6968	1974.00
43.7634	2001.00
59.2057	2001.00
77.0238	2001.00
97.2176	205.000
119.787	162.000
144.732	141.000
172.054	99.0000
201.750	74.0000
233.823	146.000
268.271	94.0000
305.095	93.0000
344.295	70.0000
385.870	88.0000
429.822	87.0000
476.149	40.0000
524.851	20.0000
575.930	71.0000
629.384	36.0000
685.214	17.0000
743.420	32.0000
804.001	31.0000
866.958	29.0000
932.291	14.0000
1000.00	27.0000


E/N (Td)	# of grid trials
1.00000	2.00000
