BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
CO
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
H2O
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
N2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
O2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        3000.00
Excitation temperature (K)                 3000.00
Transition energy (eV)                     0.00000
Ionization degree                         0.100000E-02
Gas particle density (1/m3)               0.250000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           100.000
Precision                                 0.100000E-09
Convergence                               0.100000E-04
Maximum # of iterations                    2000.00
Mole fraction CO2                         0.280000E-01
Mole fraction CO                          0.440000E-01
Mole fraction H2O                         0.940000E-01
Mole fraction N2                          0.660000
Mole fraction O2                          0.430000E-01


E/N (Td)      	Electric field / N (Td)
5.75149	0.136103E-12
11.6908	0.139610E-12
20.0059	0.149132E-12
30.6968	0.158977E-12
43.7634	0.164594E-12
59.2057	0.169256E-12
77.0238	0.174034E-12
97.2176	0.179085E-12
119.787	0.184476E-12
144.732	0.190009E-12
172.054	0.195857E-12
201.750	0.201763E-12
233.823	0.207723E-12
268.271	0.213741E-12
305.095	0.219761E-12
344.295	0.225828E-12
385.870	0.231777E-12
429.822	0.237677E-12
476.149	0.243583E-12
524.851	0.249507E-12
575.930	0.255337E-12
629.384	0.261098E-12
685.214	0.266788E-12
743.420	0.272425E-12
804.001	0.277960E-12
866.958	0.283446E-12
932.291	0.288915E-12
1000.00	0.294196E-12


E/N (Td)	e-i momentum frequency /N (m3/s)
1.00000	0.507172E-13
2.18787	0.498808E-13
5.75149	0.442872E-13
11.6908	0.324953E-13
20.0059	0.212952E-13
30.6968	0.119101E-13
43.7634	0.768564E-14
59.2057	0.577104E-14
77.0238	0.461753E-14
97.2176	0.383271E-14
119.787	0.326510E-14
144.732	0.283651E-14
172.054	0.250296E-14
201.750	0.223564E-14
233.823	0.201490E-14
268.271	0.182700E-14
305.095	0.166369E-14
344.295	0.151923E-14
385.870	0.138953E-14
429.822	0.127280E-14
476.149	0.116695E-14
524.851	0.107127E-14
575.930	0.983689E-15
629.384	0.904476E-15
685.214	0.832676E-15
743.420	0.767399E-15
804.001	0.708162E-15
866.958	0.654279E-15
932.291	0.605400E-15
1000.00	0.560354E-15


E/N (Td)	Total ionization freq. /N (m3/s)
1.00000	0.00000
2.18787	0.00000
5.75149	0.00000
11.6908	0.00000
20.0059	0.171692E-24
30.6968	0.671521E-21
43.7634	0.308276E-19
59.2057	0.248781E-18
77.0238	0.113204E-17
97.2176	0.384509E-17
119.787	0.107830E-16
144.732	0.262477E-16
172.054	0.568921E-16
201.750	0.112029E-15
233.823	0.203277E-15
268.271	0.343595E-15
305.095	0.546183E-15
344.295	0.823066E-15
385.870	0.118540E-14
429.822	0.164121E-14
476.149	0.219602E-14
524.851	0.285289E-14
575.930	0.361541E-14
629.384	0.448327E-14
685.214	0.545569E-14
743.420	0.653093E-14
804.001	0.770696E-14
866.958	0.898018E-14
932.291	0.103456E-13
1000.00	0.118050E-13


E/N (Td)	Total attachment freq. /N (m3/s)
1.00000	0.132080E-19
2.18787	0.133296E-19
5.75149	0.142397E-19
11.6908	0.176605E-19
20.0059	0.826809E-19
30.6968	0.133752E-17
43.7634	0.420922E-17
59.2057	0.685814E-17
77.0238	0.909186E-17
97.2176	0.109157E-16
119.787	0.123467E-16
144.732	0.134278E-16
172.054	0.141814E-16
201.750	0.146627E-16
233.823	0.149109E-16
268.271	0.149620E-16
305.095	0.148647E-16
344.295	0.146512E-16
385.870	0.143472E-16
429.822	0.139801E-16
476.149	0.135654E-16
524.851	0.131220E-16
575.930	0.126598E-16
629.384	0.121902E-16
685.214	0.117212E-16
743.420	0.112601E-16
804.001	0.108069E-16
866.958	0.103676E-16
932.291	0.994474E-17
1000.00	0.953810E-17


E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
