# Data provided by J.B. Perrin-Terrin, from [PerrinTerrin2025](https://hal.science/hal-05076071v1/document)
# Cable: length=8.0 m, impedance=75 Ohm, Measurment position=3.0 m
# Time [s],Voltage [V],Current [A],Energy [J]
-9.630607E-8,78.1253,-1.09375,-4.50455E-5
-9.620607E-8,78.1253,-1.09375,-4.50455E-5
-9.610607E-8,78.1253,-1.09375,-4.50455E-5
-9.600607E-8,78.1253,0,-4.50455E-5
-9.590607E-8,78.1253,0,-4.50455E-5
-9.580607E-8,78.1253,0,-4.50455E-5
-9.570607E-8,0,-1.09375,-4.50455E-5
-9.560607E-8,78.1253,-1.09375,-4.50455E-5
-9.550607E-8,78.1253,-1.09375,-4.50455E-5
-9.540607E-8,78.1253,-1.09375,-4.50455E-5
-9.530607E-8,78.1253,-1.09375,-4.50455E-5
-9.520607E-8,78.1253,-1.09375,-4.50455E-5
-9.510607E-8,0,-1.09375,-4.50455E-5
-9.500607E-8,0,-1.09375,-4.50455E-5
-9.490607E-8,0,-1.09375,-4.50455E-5
-9.480607E-8,0,-1.09375,-4.50455E-5
-9.470607E-8,78.1253,-1.09375,-4.50455E-5
-9.460607E-8,78.1253,-1.09375,-4.50455E-5
-9.450607E-8,0,-1.09375,-4.50455E-5
-9.440607E-8,0,-1.09375,-4.50455E-5
-9.430607E-8,0,-1.09375,-4.50455E-5
-9.420607E-8,0,-1.09375,-4.50455E-5
-9.410607E-8,0,-1.09375,-4.50455E-5
-9.400607E-8,0,-1.09375,-4.50455E-5
-9.390607E-8,0,-1.09375,-4.50455E-5
-9.380607E-8,0,-1.09375,-4.50455E-5
-9.370607E-8,0,-1.09375,-4.50455E-5
-9.360607E-8,0,0,-4.50455E-5
-9.350607E-8,0,0,-4.50455E-5
-9.340607E-8,0,0,-4.50455E-5
-9.330607E-8,0,0,-4.50455E-5
-9.320607E-8,0,-1.09375,-4.50455E-5
-9.310607E-8,78.1253,-1.09375,-4.50455E-5
-9.300607E-8,78.1253,-1.09375,-4.50455E-5
-9.290607E-8,78.1253,-1.09375,-4.50455E-5
-9.280607E-8,78.1253,-1.09375,-4.50455E-5
-9.270607E-8,78.1253,-1.09375,-4.50455E-5
-9.260607E-8,78.1253,-1.09375,-4.50455E-5
-9.250607E-8,78.1253,0,-4.50455E-5
-9.240607E-8,78.1253,0,-4.50455E-5
-9.230607E-8,78.1253,0,-4.50455E-5
-9.220607E-8,78.1253,-1.09375,-4.50455E-5
-9.210607E-8,78.1253,-1.09375,-4.50455E-5
-9.200607E-8,0,-1.09375,-4.50455E-5
-9.190607E-8,0,-1.09375,-4.50455E-5
-9.180607E-8,0,-1.09375,-4.50455E-5
-9.170607E-8,0,-1.09375,-4.50455E-5
-9.160607E-8,0,-1.09375,-4.50455E-5
-9.150607E-8,78.1253,0,-4.50455E-5
-9.140607E-8,78.1253,-1.09375,-4.50455E-5
-9.130607E-8,78.1253,-1.09375,-4.50455E-5
-9.120607E-8,78.1253,-1.09375,-4.50455E-5
-9.110607E-8,78.1253,-1.09375,-4.50455E-5
-9.100607E-8,78.1253,-1.09375,-4.50455E-5
-9.090607E-8,78.1253,-1.09375,-4.50455E-5
-9.080607E-8,78.1253,-1.09375,-4.50455E-5
-9.070607E-8,78.1253,-1.09375,-4.50455E-5
-9.060607E-8,78.1253,-1.09375,-4.50455E-5
-9.050607E-8,78.1253,-1.09375,-4.50455E-5
